id, partidas ganhas, partidas perdidas, razao
0, 484, 516, 0937984496124031
1, 514, 486, 10576131687242798
2, 519, 481, 1079002079002079
3, 473, 527, 08975332068311196
4, 494, 506, 09762845849802372
5, 469, 531, 08832391713747646
6, 486, 514, 09455252918287937
7, 515, 485, 10618556701030928
8, 494, 506, 09762845849802372
9, 491, 509, 09646365422396856
10, 511, 489, 10449897750511248
11, 482, 518, 09305019305019305
12, 510, 490, 10408163265306123
13, 490, 510, 09607843137254902
14, 505, 495, 102020202020202
15, 527, 473, 11141649048625792
16, 521, 479, 10876826722338204
17, 528, 472, 111864406779661
18, 530, 470, 1127659574468085
19, 522, 478, 10920502092050208
20, 487, 513, 0949317738791423
21, 514, 486, 10576131687242798
22, 499, 501, 09960079840319361
23, 506, 494, 10242914979757085
24, 513, 487, 1053388090349076
25, 490, 510, 09607843137254902
26, 499, 501, 09960079840319361
27, 500, 500, 1
28, 497, 503, 09880715705765407
29, 486, 514, 09455252918287937
30, 546, 454, 12026431718061674
31, 540, 460, 1173913043478261
32, 493, 507, 09723865877712031
33, 492, 508, 0968503937007874
34, 519, 481, 1079002079002079
35, 503, 497, 1012072434607646
36, 494, 506, 09762845849802372
37, 489, 511, 09569471624266145
38, 507, 493, 1028397565922921
39, 492, 508, 0968503937007874
40, 534, 466, 1145922746781116
41, 491, 509, 09646365422396856
42, 477, 523, 09120458891013384
43, 488, 512, 0953125
44, 496, 504, 09841269841269841
45, 496, 504, 09841269841269841
46, 488, 512, 0953125
47, 515, 485, 10618556701030928
48, 507, 493, 1028397565922921
49, 498, 502, 09920318725099602
50, 491, 509, 09646365422396856
51, 509, 491, 10366598778004072
52, 509, 491, 10366598778004072
53, 509, 491, 10366598778004072
54, 524, 476, 11008403361344539
55, 487, 513, 0949317738791423
56, 481, 519, 09267822736030829
57, 488, 512, 0953125
58, 496, 504, 09841269841269841
59, 476, 524, 09083969465648855
60, 502, 498, 10080321285140563
61, 504, 496, 10161290322580645
62, 506, 494, 10242914979757085
63, 497, 503, 09880715705765407
64, 490, 510, 09607843137254902
65, 500, 500, 1
66, 498, 502, 09920318725099602
67, 500, 500, 1
68, 468, 532, 08796992481203008
69, 494, 506, 09762845849802372
70, 526, 474, 1109704641350211
71, 497, 503, 09880715705765407
72, 504, 496, 10161290322580645
73, 498, 502, 09920318725099602
74, 500, 500, 1
75, 511, 489, 10449897750511248
76, 475, 525, 09047619047619048
77, 504, 496, 10161290322580645
78, 479, 521, 09193857965451055
79, 521, 479, 10876826722338204
80, 505, 495, 102020202020202
81, 496, 504, 09841269841269841
82, 503, 497, 1012072434607646
83, 503, 497, 1012072434607646
84, 474, 526, 09011406844106464
85, 492, 508, 0968503937007874
86, 499, 501, 09960079840319361
87, 506, 494, 10242914979757085
88, 464, 536, 08656716417910447
89, 490, 510, 09607843137254902
90, 493, 507, 09723865877712031
91, 494, 506, 09762845849802372
92, 508, 492, 1032520325203252
93, 493, 507, 09723865877712031
94, 473, 527, 08975332068311196
95, 516, 484, 10661157024793388
96, 479, 521, 09193857965451055
97, 491, 509, 09646365422396856
98, 504, 496, 10161290322580645
99, 495, 505, 09801980198019802